dbs,,,,
#DATANO,0,1,2,3
39,"Кати-кати-гора","Кати-кати-гора - японская сказка про старика, который поймал тануки и связал его, чтобы потом сварить из него суп.",7600,1045
40,"Исследовательский отряд Кавагучи","”Исследовательский отряд Кавагучи” - телевизионная программа, транслировавшаяся в Японии с 1978 по 1986 год.",1003,125
41,"Каваи","Масахиро Каваи - бывший игрок Токийской бейсбольной команды ”Гиганты Ёмиури”, прославившийся своими бантами.",429,1245
42,"Старайся в том же духе","В начальной школе Японии оценки представляют собой не числа, а расплывчатые выражения вроде ”очень хорошо”, ”хорошо”, ”больше старайся” и т.д.",1004,24
43,"Киби-данго","Киби-данго - данго из пшеничной муки, которыми славится префектура Вакаяма. Они широко известны в Японии и тесно связаны со сказкой о Момотаро.",1428,479
44,"Кицунэ-удон","Кицунэ-удон - удон (суп с лапшой из пшеничной муки) с подслащёнными кусочками обжаренного тофу.",415,230
45,"Комада","Норихиро Комада - бывший профессиональный бейсболист-инфилдер, игравший за ”Гигантов Ёмиури” и ”Йокогама Бэйстарз”. Известен своей уникальной техникой отбивания.",6802,669
46,"Котацу","Котацу - низкий деревянный каркас стола, накрытый японским матрацем футоном или тяжёлым одеялом, на который сверху положена столешница. Под одеялом располагается источник тепла, часто встроенный в стол.",414,182
47,"Котацу и мандарины","Котацу и мандарины - предметы, чаще всего ассоциирующиеся с зимой.",4426,148
48,"Кодзиэн","Кодзиэн - считающийся самым авторитетным словарь японского языка. Последнее издание 2008 года содержит около 240 тысяч слов.",3426,487
49,"Палочки для еды на долголетие","Палочки для еды на долголетие - популярный подарок. Считается, что они продлевают жизнь того, кто ими пользуется.",1428,655
50,"Любовный зонтик","Любовный зонтик - популярный среди юных парочек рисунок, где под изображением зонта пишутся имена обоих людей. Сходно с западной традицией вырезать на дереве сердечки с именами.",6512,98
51,"Масаи","Масаи - полукочевой африканский коренной народ, живущий в саванне на юге Кении и на севере Танзании.",1505,16
52,"Мандзай","Мандзай - это традиционный комедийный жанр в Японии, который подразумевает выступление двух человек на сцене - цуккоми и бокэ, шутящих с большой скоростью. В то время как бокэ делает или рассказывает на сцене что-то глупое, цуккоми пытается над ним подшутить.",4422,79
53,"Ментайко","Ментайко - маринованная со специями икра минтая либо трески.",6802,610
54,"Милк-файт","”Милк-файт” комедийный скетч Ёсимото Когё (крупный японский развлекательный конгломерат), где людей поят молоком, одновременно пытаясь их рассмешить.",4502,218
55,"Момои-сан","Момои Каори - актриса, снявшаяся во множестве фильмов, включая американскую экранизацию ”Мемуаров гейши” 2005 года. Обладательница премии Японской киноакадемии.",6428,934
56,"Момотаро","Момотаро - широко известная в Японии сказка о маленьком мальчике, при помощи киби-данго приручившем пса, обезьяну и фазана, чтобы отправиться в путешествие и победить демона-людоеда.",1428,480
57,"Названия сезонов в японском языке","Названия сезонов в японском языке следующие: нацу (夏) - лето, аки (秋) - осень, фую (冬)  - зима и хару (春) - весна. Первый кандзи в имени Сунохары (春原) тоже хару.",7600,0
58,"Нанива-буси","Нанива-буси, также известные как рокёку, - повествовательные песни, исполняемые под аккомпанемент сямисэна (трёхструнный щипковый музыкальный инструмент). Типичный герой нанива-буси стремится быть добрым и уважать других. Главные темы историй нанива-буси - человечность и человеческая доброта, но сами истории обычно заканчиваются на грустной ноте.",1501,46
59,"Натто","Натто - традиционная японская еда, произведённая из сброжённых соевых бобов.",2502,324
60,"Нишимэ","Нишимэ - это японское тушёное блюдо без добавления большого количества воды. Традиционное нишимэ делается из овощей. Современные рецепты также могут включать мясо, морепродукты или птицу.",6800,3827
61,"Нуэ","Нуэ - японский демон. Он появляется в повести о доме Тайра и имеет лицо обезьяны, лапы тигра, тело енотовидной собаки и переднюю половину змеи вместо хвоста.",1428,466
62,"Огата Иссэй","Японский актёр и комик, известный своими одиночными выступлениями, работой на телевидении, съёмками в артхаусных фильмах, а также ролью императора Хирохито в фильме 2005 года ”Солнце” Александра Сокурова.",6501,167
63,"Оомори","Оомори Такеши - ещё один бейсболист из ”Гигантов Ёмиури”; несмотря на то что команда возлагала на него большие надежды, он не смог подняться до высокого уровня.",429,1249
64,"Фотокабина","Часто в японских развлекательных центрах ставят фотокабины, в которых можно распечатать небольшие декоративные фотографии. В отличие от заведений, где делают фото на документы, здесь можно применить к фото различные эффекты, украсить рамочками и т.п. Фотокабинки особенно популярны среди школьниц.",3425,409
65,"Пауэр-аккорд","Пауэр-аккорд - двузвучие, состоящее из основного и квинтового тонов, обычно используется в игре на струнных инструментах, а в особенности на электрогитаре с использованием эффектов искажения звука.",7100,433
66,"Красная нить судьбы","Китайцы и японцы верят, что те, кому богами суждено встретиться, связаны друг с другом красной нитью. В японских легендах нить судьбы, как правило, изображается в виде шнурка, обвязанного вокруг мизинца.",0,0
67,"Красная молния","Красная молния Золион - отсылка к аниме 1987 года ”Красный фотон Зиллион”, которое также превратилось в популярную серию игрушек для лазертага.",424,26
68,"Рирэкисё","Рирэкисё - японский эквивалент резюме и биографических данных. Как правило, пишется от руки на стандартизированных бланках, которые можно приобрести в канцелярских магазинах.",7600,80
69,"Санкакутабэ","Санкакутабэ - надлежащий способ приёма пищи, включающий разделение обеда на три части: хлеб, гарнир и суп (именно в таком порядке).",2509,80
70,"Сэйдза","Сэйдза - японский термин для обозначения одного из традиционных способов сидения на полу. В сэйдза сидят следующим образом: голени ног лежат на полу, стопы и тыльные стороны пальцев ног развёрнуты кверху; бёдра покоятся на внутренних сторонах голеней, ягодицы - на пятках; большие пальцы ног либо соприкасаются друг с другом, либо слегка перекрывают друг друга.",7500,374
71,"Ширитори","Ширитори - это японская игра в слова, в которой игроки должны произнести слово, которое начинается с последней каны (слога) предыдущего слова.",4417,114
72,"Песня морских звёзд","”Песня морских звёзд” - пародия на песню Grateful Days группы Dragon Ash. Оригинальная строка гласит: ”Я родился в Токио и вырос с хип-хопом. Любой, кто выглядит крутым, скорей всего мой друг”.",1429,341
73,"The Supercar Trio","The Supercar Trio группа из трёх ведущих игроков Yokohama Taiyo Whales в 1985 году: Хирокадзу Като, Канамэ Яшики и Ютака Такаги. Известны своей скоростью; суммарно в 1985 году они украли 188 баз.",428,188
74,"Сурумепан","Сурумепан - булочка с кальмаром. Считается редкостью, и её трудно найти даже в частных пекарнях.",1502,134
75,"Эффект подвесного моста","Эффект подвесного моста - психологическое явление, которое выражается в том, что совместное переживание стрессовых ситуаций способствует возникновению более сильных чувств по отношению к людям, с которыми эти ситуации были пережиты. Повышенное сердцебиение, вызванное страхом, ошибочно расценивается как зарождающееся чувство любви.",5424,836
76,"Таяки","Таяки - оладьи в форме рыбок с начинкой из бобового джема. В последние несколько десятилетий в качестве начинки начали использовать все виды сладостей, например шоколад, заварной крем и т.д.",1511,248
77,"Такэфудзи","”Такэфудзи” - кредитная организация, выпустившая знаменитую серию рекламных роликов с песней ”Synchronized Love” Джо Ринои.",415,336
78,"Такэши","Китано Такэши (или ”Бит” Такэши) - японский режиссёр, комик, певец (в основном, в рамках своей карьеры комика), актёр, ведущий, монтажёр, сценарист, писатель, поэт и художник, получивший признание критиков как в Японии, так и за рубежом. Несмотря на свои заслуги, известен, по большей части, своими комедийными работами.",429,640
79,"Тамагояки","Тамагояки - сладкий или пряный омлет. Готовится тонкими слоями, которые один за другим с помощью палочек сворачивают в рулет. Как правило, его готовят в прямоугольной сковороде.",3430,318
80,"Танимура Синдзи","Танимура Синдзи - певец и автор песен. Наиболее известные его произведения выпущены в 70–80-х годах.",1423,146
81,"Татами","Татами - маты, которыми в Японии застилают полы домов, также используемые как мера площади комнат. Площадь татами - 1,62 квадратного метра.",6800,736
82,"Тацукава","Тацукава Мицуо бывший профессиональный японский бейсболист, прославившийся тем, что часто пытался убедить судей, что подача попала в него, хотя на самом деле это было не так.",6802,2024
83,"Скажи, что всегда меня любишь",""Скажи, что всегда меня любишь" - строчка из песни Manatsu no kajitsu ("Летние фрукты") Куваты Кэйсукэ.",1423,69
84,"Не бывает ничего ненужного, верно?","”Не бывает ничего ненужного, верно?” - первая строчка из песни Say Yes группы CHAGE&ASKA.",1423,70
85,"Цую","Цую - сезон дождей в Японии, который обычно длится с июня по июль. В это время влажность воздуха очень высока.",3513,310
86,"Цутэнкаку","Цутэнкаку - башня, известная достопримечательность в Осаке. Башня славится своими неоновыми огнями, которые меняются каждые несколько лет (они были отключены во время нефтяного кризиса 1974-76 годов). С 1957 года Hitachi выступает спонсором башни, поэтому световые конструкции обычно несут рекламу Hitachi, хотя одна сторона башни, как правило, занята социальной рекламой.",4422,99
87,"Унаги-пай","Унаги-пай - слоёное печенье, в состав которого входит толчёный угорь.",415,207
88,"Унагипан","Унагипан - сладкая булочка в форме угря.",1502,156
89,"Урасима Таро","Урасима Таро - персонаж японской легенды о молодом рыбаке, спасшем черепаху. Она оказалась прекрасной дочерью повелителя морей Рюдзина по имени Отохимэ, которая лишь временно приняла образ животного, и пригласила Таро в подводный дворец, где тот провёл несколько дней. Вернувшись в свою деревню, Таро обнаружил, что за время его отсутствия прошло 700 лет.",415,475
90,"Шкатулка Урасимы Таро","Шкатулка Урасимы Таро - отсылка к легенде об Урасиме Таро. На прощание Отохимэ вручила Таро бумажную коробочку, приказав ни в коем случае не открывать её. Потрясённый тем, что за время его отсутствия прошло 700 лет, он открыл подаренную коробочку. Из неё вырвался дым, который окутал рыбака, мгновенно состарил и убил его.",4421,309
91,"Видеокассета","Видеокассета - это тип магнитной кассеты, используемый для хранения видео- и аудиоконтента в аналоговом формате. Формат для домашнего использования возник в 70-х годах XX века и в начале XXI века ещё оставался популярными в Японии.",422,0
92,"Где Уолли/Уолдо?","”Где Уолли/Уолдо?” - серия детских книг, где нужно найти определённого человека - Уолли (или Уолдо, в зависимости от страны публикации) - на картинке, где изображено много людей.",7100,359
93,"Ночью плакала без сна, да?","”Ночью плакала без сна, да?” - строчка из песни Mou hitotsu no doyoubi (”Очередная суббота”) Сёго Хамады.",1423,68
94,"Зони","Зони - суп, который едят почти исключительно на Новый год. Ингредиенты могут быть самыми разными, но, как правило, в их число входят лепёшки моти.",6801,1559
95,"EOL","",0,0
